active_ingredient,paediatric_growth_cases,paediatric_cases_all_events,suspect_role_growth_cases,suspect_fraction,role_mix,ror,ror_lo95,ror_hi95,prr,prr_lo95,information_component,ic025_shrunk,signal_by_ic025,age_median,age_min,age_max,sex_mix,reporter_mix,physician_reported_fraction,country_mix,fda_year_mix,top_indications,top_comedications,co_growth_hormone,co_aromatase_inhibitor,co_puberty_blocker,co_sex_steroid,co_glucocorticoid,co_thyroid,endocrine_comedication_case_fraction,positive_dechallenge,negative_dechallenge,positive_rechallenge,negative_rechallenge,serious_outcome_cases,negative_control_term_cases,negative_to_positive_ratio,control_role
ACETAMINOPHEN,9,4200,2,0.222,concomitant (7); secondary suspect (2),1.219,0.634,2.343,1.218,0.635,0.19,-1.152,False,4.0,0.6,12.0,M (7); F (2),unknown (7); physician (1); consumer (1),0.111,CO (3); US (3); FR (1),2025 (8); 2024 (1),CYSTIC FIBROSIS (13); PRODUCT USED FOR UNKNOWN INDICATION (11); PREMEDICATION (5); MUCOPOLYSACCHARIDOSIS II (3),IDURSULFASE (3); TEDUGLUTIDE (3); METRONIDAZOLE (3); LOPERAMIDE (3); LORATADINE (2); CETIRIZINE (2),0,0,1,0,4,1,0.333,0,0,0,0,9,35,3.89,
MERCAPTOPURINE,4,760,4,1.0,secondary suspect (4),3.224,1.262,8.236,3.21,1.263,1.232,-1.207,False,6.0,6.0,6.0,F (4),physician (4),1.0,SK (4),2024 (4),PRODUCT USED FOR UNKNOWN INDICATION (24); FEBRILE NEUTROPENIA (19); ANTIBIOTIC THERAPY (15); ACUTE LYMPHOCYTIC LEUKAEMIA (10),VANCOMYCIN (4); DAUNORUBICIN (4); CYCLOPHOSPHAMIDE (4); MEROPENEM (4); AMPHOTERICIN B (4); PEGASPARGASE (4),0,0,0,0,4,0,1.0,0,0,0,0,4,1,0.25,
VANCOMYCIN,4,970,4,1.0,secondary suspect (6); primary suspect (2),2.518,0.986,6.429,2.511,0.987,0.964,-1.326,False,6.0,6.0,6.0,F (4),physician (4),1.0,SK (4),2024 (4),PRODUCT USED FOR UNKNOWN INDICATION (24); FEBRILE NEUTROPENIA (19); ANTIBIOTIC THERAPY (15); ACUTE LYMPHOCYTIC LEUKAEMIA (10),DAUNORUBICIN (4); CYCLOPHOSPHAMIDE (4); MEROPENEM (4); AMPHOTERICIN B (4); PEGASPARGASE (4); CASPOFUNGIN (4),0,0,0,0,4,0,1.0,0,0,0,0,4,2,0.5,
ESTRADIOL,3,68,0,0.0,concomitant (3),29.001,9.799,85.831,27.581,9.837,2.482,-1.397,False,9.0,9.0,9.0,F (3),unknown (3),0.0,CA (3),2025 (3),PRODUCT USED FOR UNKNOWN INDICATION (6); GROWTH HORMONE DEFICIENCY (3); HORMONE REPLACEMENT THERAPY (3),DESMOPRESSIN (3); LEVOTHYROXINE (3); PREDNISOLONE (3); SOMATROPIN (3),3,0,0,0,3,3,1.0,0,0,0,0,3,3,1.0,
CERTOLIZUMAB PEGOL,3,66,3,1.0,secondary suspect (6); primary suspect (3),29.915,10.099,88.611,28.404,10.139,2.49,-1.398,False,0.0,0.0,0.0,M (2); ? (1),consumer (3),0.0,CO (1); GB (1); CA (1),2025 (2); 2024 (1),IN VITRO FERTILISATION (3); ANKYLOSING SPONDYLITIS (2); PRODUCT USED FOR UNKNOWN INDICATION (2); HYPOTHYROIDISM (1),LEVOTHYROXINE (1); ENOXAPARIN (1); PROGESTERONE (1); ESTROGENS (1); PREDNISOLONE (1),0,0,0,0,1,1,0.667,0,0,0,0,3,0,0.0,
ASCORBIC ACID,3,271,0,0.0,concomitant (4),7.06,2.435,20.469,6.982,2.441,1.8,-1.4,False,4.0,4.0,16.0,M (2); F (1),unknown (3),0.0,CO (2); CA (1),2025 (3),PRIMARY IMMUNODEFICIENCY SYNDROME (2); SHORT-BOWEL SYNDROME (1); PRODUCT USED FOR UNKNOWN INDICATION (1); CROHN'S DISEASE (1),HUMAN IMMUNOGLOBULIN G (2); BUDESONIDE (1); PREGABALIN (1); VITAMIN A (1); ADALIMUMAB (1); BIOTIN (1),0,0,0,0,1,0,0.333,0,0,0,0,3,5,1.67,
CHOLESTYRAMINE,3,50,0,0.0,concomitant (3),39.998,13.378,119.591,37.322,13.439,2.561,-1.41,False,4.0,3.0,14.0,F (2); M (1),unknown (2); consumer (1),0.0,CO (1); AU (1); CA (1),2026 (1); 2024 (1); 2025 (1),SHORT-BOWEL SYNDROME (10); OVERGROWTH BACTERIAL (2); MALAISE (1); DIARRHOEA (1),LOPERAMIDE (3); TEDUGLUTIDE (3); CHLORIDE (2); OMEPRAZOLE (1); IRON POLYMALTOSE (1); URSODIOL (1),0,0,0,0,0,0,0.0,0,0,0,0,3,0,0.0,
BUDESONIDE,4,1139,2,0.5,concomitant (2); primary suspect (2); secondary suspect (1),2.139,0.838,5.461,2.135,0.839,0.779,-1.418,False,4.5,3.0,5.0,M (4),physician (2); unknown (2),0.5,PL (1); CA (1); IT (1),2025 (4),PREMEDICATION (3); PROTEIN-LOSING GASTROENTEROPATHY (2); COLITIS MICROSCOPIC (1); SHORT-BOWEL SYNDROME (1),ACETAMINOPHEN (2); PREGABALIN (1); VITAMIN A (1); ADALIMUMAB (1); BIOTIN (1); TEDUGLUTIDE (1),0,0,0,0,1,0,0.25,1,0,0,0,3,15,3.75,NEGATIVE_CONTROL
CIPROFLOXACIN,3,362,0,0.0,concomitant (3),5.268,1.82,15.247,5.227,1.824,1.575,-1.44,False,12.0,4.0,12.0,F (2); M (1),unknown (3),0.0,CA (2); US (1),2025 (3),SHORT-BOWEL SYNDROME (3); OVERGROWTH BACTERIAL (2); MALAISE (1); DIARRHOEA (1),LOPERAMIDE (3); TEDUGLUTIDE (3); CHOLECALCIFEROL (2); CHLORIDE (2); RIFAXIMIN (2); AMINO ACIDS (2),0,0,0,0,0,0,0.0,0,0,0,0,3,2,0.67,
ESTROGENS,3,17,0,0.0,concomitant (3),131.072,40.426,424.971,105.78,40.852,2.719,-1.443,False,9.0,0.0,16.0,F (2); M (1),consumer (1); physician (1); unknown (1),0.333,GB (1); CA (1); CO (1),2024 (2); 2025 (1),IN VITRO FERTILISATION (3); PSORIASIS (1); PSORIATIC ARTHROPATHY (1); PRODUCT USED FOR UNKNOWN INDICATION (1),PREDNISOLONE (2); CERTOLIZUMAB PEGOL (1); ENOXAPARIN (1); PROGESTERONE (1); DESMOPRESSIN (1); LEVOTHYROXINE (1),1,0,0,0,2,1,0.667,0,0,0,0,3,0,0.0,
PREDNISONE,6,2859,4,0.667,secondary suspect (5); concomitant (2); primary suspect (1),1.222,0.558,2.674,1.221,0.559,0.158,-1.455,False,6.0,0.9,13.0,F (5); M (1),physician (4); unknown (2),0.667,SK (4); US (1); CL (1),2024 (5); 2026 (1),PRODUCT USED FOR UNKNOWN INDICATION (28); FEBRILE NEUTROPENIA (19); ANTIBIOTIC THERAPY (15); ACUTE LYMPHOCYTIC LEUKAEMIA (10),VANCOMYCIN (4); DAUNORUBICIN (4); CYCLOPHOSPHAMIDE (4); MEROPENEM (4); AMPHOTERICIN B (4); PEGASPARGASE (4),0,0,0,0,0,0,0.0,0,0,0,0,5,60,10.0,NEGATIVE_CONTROL
VINCRISTINE,5,2081,5,1.0,secondary suspect (5),1.424,0.609,3.33,1.423,0.61,0.329,-1.482,False,6.0,6.0,8.0,F (5),physician (5),1.0,SK (4); JP (1),2024 (4); 2026 (1),PRODUCT USED FOR UNKNOWN INDICATION (24); FEBRILE NEUTROPENIA (19); ANTIBIOTIC THERAPY (15); ACUTE LYMPHOCYTIC LEUKAEMIA (10),CYCLOPHOSPHAMIDE (5); VANCOMYCIN (4); DAUNORUBICIN (4); MEROPENEM (4); AMPHOTERICIN B (4); PEGASPARGASE (4),0,0,0,0,4,0,0.8,0,0,0,0,5,3,0.6,
RISPERIDONE,4,1305,1,0.25,concomitant (4); primary suspect (1),1.863,0.73,4.755,1.86,0.731,0.618,-1.504,False,9.5,5.0,14.0,M (3); ? (1),unknown (3); lawyer (1),0.0,CO (2); US (1); ? (1),2026 (3); 2024 (1),PRODUCT USED FOR UNKNOWN INDICATION (15); MUCOPOLYSACCHARIDOSIS II (2); AFFECTIVE DISORDER (1); DEPRESSION (1),IDURSULFASE (2); CLOBAZAM (1); NADOLOL (1); DIAZEPAM (1); BACLOFEN (1); FLUTICASONE PROPIONATE (1),0,0,0,0,0,0,0.0,0,0,0,0,4,8,2.0,
VITAMIN D NOS,3,483,1,0.333,concomitant (2); secondary suspect (1),3.937,1.362,11.379,3.915,1.365,1.322,-1.506,False,1.0,0.9,11.0,M (3),unknown (2); consumer (1),0.0,CL (1); CO (1); US (1),2026 (2); 2024 (1),PRODUCT USED FOR UNKNOWN INDICATION (12); GASTROSTOMY (3); SPINAL MUSCULAR ATROPHY (1); SHORT-BOWEL SYNDROME (1),OMEPRAZOLE (2); LOPERAMIDE (2); ONASEMNOGENE ABEPARVOVEC-XIOI (1); PREDNISONE (1); DOMPERIDONE (1); TEDUGLUTIDE (1),0,0,1,0,2,1,0.667,0,0,0,0,3,22,7.33,
URSODIOL,3,498,2,0.667,secondary suspect (2); concomitant (1),3.817,1.321,11.032,3.797,1.323,1.294,-1.514,False,1.0,1.0,3.0,M (2); F (1),unknown (3),0.0,CO (3),2026 (3),GASTROSTOMY (4); PRODUCT USED FOR UNKNOWN INDICATION (4); SHORT-BOWEL SYNDROME (3),LOPERAMIDE (3); TEDUGLUTIDE (3); OMEPRAZOLE (2); ONDANSETRON (2); CHOLESTYRAMINE (1); IRON POLYMALTOSE (1),0,0,0,0,0,0,0.0,0,0,0,0,3,3,1.0,
CHLORIDE,4,1511,0,0.0,concomitant (4),1.605,0.629,4.096,1.604,0.63,0.441,-1.606,False,11.0,4.0,14.0,M (2); F (2),unknown (3); consumer (1),0.0,CO (1); US (1); AU (1),2025 (3); 2024 (1),SHORT-BOWEL SYNDROME (10); OVERGROWTH BACTERIAL (2); PRIMARY IMMUNODEFICIENCY SYNDROME (1); SELECTIVE POLYSACCHARIDE ANTIBODY DEFICIENCY (1),TEDUGLUTIDE (3); LOPERAMIDE (3); CIPROFLOXACIN (2); RIFAXIMIN (2); AMINO ACIDS (2); CHOLESTYRAMINE (2),0,0,0,0,0,0,0.0,0,0,0,0,4,24,6.0,
CYTARABINE,4,1546,4,1.0,secondary suspect (4),1.568,0.615,4.002,1.567,0.616,0.413,-1.622,False,6.0,6.0,6.0,F (4),physician (4),1.0,SK (4),2024 (4),PRODUCT USED FOR UNKNOWN INDICATION (24); FEBRILE NEUTROPENIA (19); ANTIBIOTIC THERAPY (15); ACUTE LYMPHOCYTIC LEUKAEMIA (10),VANCOMYCIN (4); DAUNORUBICIN (4); CYCLOPHOSPHAMIDE (4); MEROPENEM (4); AMPHOTERICIN B (4); PEGASPARGASE (4),0,0,0,0,4,0,1.0,0,0,0,0,4,1,0.25,
VITAMINS,3,781,0,0.0,concomitant (3),2.422,0.839,6.992,2.416,0.841,0.84,-1.685,False,10.0,0.0,13.0,M (2); F (1),unknown (1); physician (1); consumer (1),0.333,US (3),2025 (2); 2024 (1),PRODUCT USED FOR UNKNOWN INDICATION (8); DERMATITIS ATOPIC (1); LAURENCE-MOON-BARDET-BIEDL SYNDROME (1),OSELTAMIVIR (1); LEVOCETIRIZINE DIHYDROCHLORIDE (1); DIPHENHYDRAMINE (1); TACROLIMUS (1); LORATADINE (1); DUPILUMAB (1),0,0,0,0,1,0,0.333,0,0,0,0,2,18,6.0,
CYCLOPHOSPHAMIDE,5,2739,5,1.0,secondary suspect (4); primary suspect (1),1.074,0.459,2.511,1.074,0.46,-0.027,-1.724,False,6.0,6.0,8.0,F (5),physician (5),1.0,SK (4); JP (1),2024 (4); 2026 (1),PRODUCT USED FOR UNKNOWN INDICATION (24); FEBRILE NEUTROPENIA (19); ANTIBIOTIC THERAPY (15); ACUTE LYMPHOCYTIC LEUKAEMIA (10),VINCRISTINE (5); VANCOMYCIN (4); DAUNORUBICIN (4); MEROPENEM (4); AMPHOTERICIN B (4); PEGASPARGASE (4),0,0,0,0,4,0,0.8,0,0,0,0,5,20,4.0,
CHOLECALCIFEROL,3,1481,0,0.0,concomitant (3),1.266,0.439,3.651,1.266,0.44,0.103,-2.074,False,4.0,0.0,12.0,M (2); F (1),unknown (2); consumer (1),0.0,CA (2); US (1),2025 (3),SHORT-BOWEL SYNDROME (2); OVERGROWTH BACTERIAL (2); PRODUCT USED FOR UNKNOWN INDICATION (1); MALAISE (1),LOPERAMIDE (2); TEDUGLUTIDE (2); CIPROFLOXACIN (2); ETANERCEPT (1); INFLIXIMAB (1); VITAMINS (1),0,0,0,0,0,0,0.0,0,0,0,0,3,55,18.33,
METHOTREXATE,4,3668,4,1.0,secondary suspect (6),0.646,0.253,1.646,0.646,0.254,-0.705,-2.398,False,6.0,6.0,6.0,F (4),physician (4),1.0,SK (4),2024 (4),PRODUCT USED FOR UNKNOWN INDICATION (24); FEBRILE NEUTROPENIA (19); ANTIBIOTIC THERAPY (15); ACUTE LYMPHOCYTIC LEUKAEMIA (10),VANCOMYCIN (4); DAUNORUBICIN (4); CYCLOPHOSPHAMIDE (4); MEROPENEM (4); AMPHOTERICIN B (4); PEGASPARGASE (4),0,0,0,0,4,0,1.0,3,0,0,0,4,62,15.5,
SOMATROPIN,7,12396,7,1.0,secondary suspect (28); primary suspect (8),0.294,0.142,0.611,0.295,0.142,-1.654,-2.839,False,9.0,9.0,15.0,F (5); M (2),unknown (5); physician (1); consumer (1),0.143,CA (4); GT (1); UY (1),2025 (4); 2024 (2); 2026 (1),PRODUCT USED FOR UNKNOWN INDICATION (6); GROWTH HORMONE DEFICIENCY (5); HORMONE REPLACEMENT THERAPY (4); SHORT STATURE (1),DESMOPRESSIN (4); LEVOTHYROXINE (4); PREDNISOLONE (4); ESTRADIOL (3); ESTROGENS (1),0,0,0,3,4,4,0.571,1,2,2,0,7,102,14.57,POSITIVE_CONTROL
DUPILUMAB,4,24521,4,1.0,primary suspect (4); secondary suspect (1),0.075,0.03,0.192,0.076,0.03,-3.359,-4.756,False,12.5,5.0,16.0,F (3); M (1),unknown (2); physician (2),0.5,US (4),2025 (3); 2024 (1),DERMATITIS ATOPIC (2); NASAL POLYPS (1); ECZEMA (1),OSELTAMIVIR (1); LEVOCETIRIZINE DIHYDROCHLORIDE (1); DIPHENHYDRAMINE (1); VITAMINS (1); TACROLIMUS (1); LORATADINE (1),0,0,0,0,1,0,0.25,0,0,0,0,0,59,14.75,
