pert_iname,broad_id,InChIKey,pubchem_cid,smiles,vendor,catalog_no,vendor_name,purity,expected_mass,clinical_phase,moa,primary_target,family_primary,role,concentration_basis,potency_nM,range_finding_low_nM,range_finding_high_nM,n_concentrations_required,format,wells_needed_range_finding,wells_needed_primary,notes
camostat-mesilate,BRD-K43806473-066-04-9,XASIMHXSUQUHLV-UHFFFAOYSA-N,2536.0,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(N)=N)cc2)cc1,Tocris,3193,Camostat mesylate,96.48,398.159,Launched,protease inhibitor,PRSS1,protease,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
carglumic-acid,BRD-K60240222-001-01-4,LCQLHJZYVOQKHU-VKHMYHEASA-N,121396.0,NC(=O)N[C@@H](CCC(O)=O)C(O)=O,MicroSource,1506153,CARGLUMIC ACID,100.0,190.059,Launched,carbamoyl phosphate synthase activator,CPS1,metabolic,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
cerulenin,BRD-K52075040-001-09-7,GVEZIHKRYBHEFX-NQQPLRFYSA-N,5282054.0,C\C=C\C\C=C\CCC(=O)[C@H]1O[C@H]1C(N)=O,Enzo,G237,Cerulenin,41.25,223.121,Launched,fatty acid synthase inhibitor,FASN,metabolic,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
chlorogenic-acid,BRD-K47114202-001-14-6,CWVRJTMFETXNAD-JUHZACGLSA-N,1794427.0,O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)C(O)=O,Selleck,S2280,Chlorogenic acid,95.33,354.095,Launched,antioxidant,SLC37A4,transporter,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
chlorproguanil,BRD-K25494650-003-01-8,ISZNZKHCRKXXAU-UHFFFAOYSA-N,9571037.0,CC(C)NC(=N)N=C(N)Nc1ccc(Cl)c(Cl)c1,AMS,A000012202,,97.98,287.07,Launched,dihydrofolate reductase inhibitor,DHFR,metabolic,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
cilastatin,BRD-K85518562-236-09-7,DHSUYTOATWAVLW-WFVMDLQDSA-N,6435415.0,CC1(C)C[C@@H]1C(=O)N\C(=C/CCCCSC[C@H](N)C(O)=O)C(O)=O,Tocris,2709,Cilastatin sodium,0.0,358.156,Launched,dehydropeptidase inhibitor,DPEP1,protease,discovery compound,primary potency (Guide to Pharmacology),1000.0,3000.0,30000.0,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
cilnidipine,BRD-K00004281-001-01-9,KJEBULYHNRNJTE-HGJFNOKFSA-N,28248392.0,"COCCOC(=O)C1=C(C)NC(C)=C([C@@H]1c1cccc(c1)[N+]([O-])=O)C(=O)OC\C=C\c1ccccc1 |&1:14,r,c:7,12|",Tocris,2629,Cilnidipine,96.47,492.19,Launched,calcium channel blocker,CACNA1B,ion channel,discovery compound,primary potency (Guide to Pharmacology),199.526,598.578,5985.78,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
cinacalcet,BRD-K73838513-003-05-5,VDHAWDNDOKGFTD-MRXNPFEDSA-N,156419.0,C[C@@H](NCCCc1cccc(c1)C(F)(F)F)c1cccc2ccccc12,Selleck,S1260,Cinacalcet HCl,98.81,357.17,Launched,calcium channel activator,CASR,ion channel,discovery compound,primary potency (Guide to Pharmacology),50118.723,150356.169,1503561.69,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
cobimetinib,BRD-K03390685-001-03-9,BSMCAPRUBJMWDF-KRWDZBQOSA-N,16222096.0,OC1(CN(C1)C(=O)c1ccc(F)c(F)c1Nc1ccc(I)cc1F)[C@@H]1CCCCN1,MedChemEx,HY-13064,Cobimetinib,95.46,531.063,Launched,MEK inhibitor,MAP2K1,kinase,discovery compound,primary potency (Guide to Pharmacology),10000.0,30000.0,300000.0,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
cyclovalone,BRD-K59866480-001-07-3,DHKKONBXGAAFTB-OTYYAQKOSA-N,1550234.0,COc1cc(\C=C2/CCC\C(=C/c3ccc(O)c(OC)c3)C2=O)ccc1O,Sigma,MFCD00019515,"(2E,6E)-2,6-bis(4-hydroxy-3-methoxybenzylidene)cyclohexanone",97.7,366.147,Launched,breast cancer resistance protein inhibitor,ABCG2,transporter,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
diacerein,BRD-K69122748-001-10-1,TYNLGDBUJLVSMA-UHFFFAOYSA-N,26248.0,CC(=O)Oc1cccc2C(=O)c3cc(cc(OC(C)=O)c3C(=O)c12)C(O)=O,MicroSource,1502010,DIACERIN,95.35,368.053,Launched,interleukin inhibitor,IL1B,growth factor / cytokine,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
dilazep,BRD-K48722258-300-10-2,QVZCXCJXTMIDME-UHFFFAOYSA-N,3074.0,COc1cc(cc(OC)c1OC)C(=O)OCCCN1CCCN(CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)CC1,Tocris,481,Dilazep,92.84,604.3,Launched,adenosine reuptake inhibitor,SLC29A1,transporter,discovery compound,primary potency (Guide to Pharmacology),1.0,3.0,30.0,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
doxycycline,BRD-K01825679-311-02-9,JBIWCJUYHHGXTC-AKNGSSGZSA-N,,"C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)c2c(O)cccc12 |a:1,2,3,5,6,18,&1:12,&2:22,c:22,t:11|",Selleck,S4163,Doxycycline hyclate,99.0,498.141,Launched,bacterial 30S ribosomal subunit inhibitor|metalloproteinase inhibitor,MMP8,protease,discovery compound,primary potency (Guide to Pharmacology),50.119,150.357,1503.57,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
