active_ingredient,control_role,s1_fda_signal,s2_international_replication,s3_serial_auxology,s4_case_timing,s5_dechallenge_rechallenge,s6_dose_response,s7_human_genetic_direction,s8_mechanistic_plausibility,s9_skeletal_imaging,s10_normal_bone_evidence,p_catch_up_growth,p_puberty_suppression,p_delayed_puberty,p_aromatase_inhibition,p_growth_hormone_cotreatment,p_nutritional_recovery,p_weight_gain,p_disease_remission,p_glucocorticoid_withdrawal,p_thyroid_correction,p_oedema,p_measurement_artifact,p_oncology_survival_bias,p_reporting_publicity,p_duplicate_reports,p_pathological_growth,p_chronic_disease_growth_failure_indication,p_no_final_height,streams_present,streams_beyond_pharmacovigilance,stream_score,penalty_score,net_score,causal_class,can_reach_confirmed,paediatric_cases,ic025
DUPILUMAB,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,0,0,0.0,12.0,-12.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-4.756
RISPERIDONE,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,0,0,0.0,13.0,-13.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-1.504
URSODIOL,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,0,0,0.0,13.0,-13.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,3,-1.514
CHLORIDE,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,0,0,0.0,13.0,-13.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-1.606
CHOLECALCIFEROL,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,0,0,0.0,13.0,-13.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,3,-2.074
IVACAFTOR,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,True,0,0,0.0,13.5,-13.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,7,-0.095
ELEXACAFTOR,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,True,0,0,0.0,13.5,-13.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,7,-0.22
VITAMINS,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,0,0,0.0,13.5,-13.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,3,-1.685
OMEPRAZOLE,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,0,0,0.0,14.0,-14.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,5,-0.827
PREDNISOLONE,NEGATIVE_CONTROL,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False,3,3,7.5,22.5,-15.0,PATHOLOGICAL_OVERGROWTH,no - the class requires serial auxology AND a dechallenge or rechallenge,8,-0.644
ESTROGENS,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,True,False,False,False,False,False,True,0,0,0.0,15.0,-15.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,3,-1.443
PREDNISONE,NEGATIVE_CONTROL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,0,0,0.0,15.0,-15.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,6,-1.455
POSACONAZOLE,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,0,0,0.0,16.5,-16.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-0.943
DESMOPRESSIN,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,True,False,True,False,False,False,True,0,0,0.0,16.5,-16.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-0.945
CASPOFUNGIN,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,0,0,0.0,16.5,-16.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-0.948
LEUCOVORIN,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,0,0,0.0,16.5,-16.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-0.949
AMIKACIN,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,0,0,0.0,16.5,-16.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-0.957
RIBAVIRIN,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,0,0,0.0,16.5,-16.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-1.014
PEGASPARGASE,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,0,0,0.0,16.5,-16.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-1.014
DAUNORUBICIN,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,0,0,0.0,16.5,-16.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-1.032
PIPERACILLIN,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,0,0,0.0,16.5,-16.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-1.063
MEROPENEM,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,0,0,0.0,16.5,-16.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-1.112
MERCAPTOPURINE,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,0,0,0.0,16.5,-16.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-1.207
VANCOMYCIN,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,0,0,0.0,16.5,-16.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-1.326
VINCRISTINE,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,0,0,0.0,16.5,-16.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,5,-1.482
CYTARABINE,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,0,0,0.0,16.5,-16.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-1.622
METHOTREXATE,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,1,1,3.5,20.5,-17.0,PATHOLOGICAL_OVERGROWTH,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-2.398
LORATADINE,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,True,True,0,0,0.0,17.0,-17.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,4,-1.087
HYDROCORTISONE,,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,True,True,True,1,1,3.5,21.5,-18.0,PATHOLOGICAL_OVERGROWTH,no - the class requires serial auxology AND a dechallenge or rechallenge,5,-1.114
ASCORBIC ACID,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,0,0,0.0,18.5,-18.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,3,-1.4
ESTRADIOL,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,True,False,True,False,True,False,True,0,0,0.0,20.5,-20.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,3,-1.397
CYCLOPHOSPHAMIDE,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,0,0,0.0,20.5,-20.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,5,-1.724
ONDANSETRON,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,True,True,True,0,0,0.0,21.5,-21.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,5,-1.093
VITAMIN D NOS,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,True,True,True,0,0,0.0,21.5,-21.5,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,3,-1.506
LEVOTHYROXINE,,False,False,False,True,True,False,False,False,True,False,True,True,True,False,True,True,True,True,True,False,False,False,False,True,False,True,True,False,3,3,7.5,30.0,-22.5,PATHOLOGICAL_OVERGROWTH,no - the class requires serial auxology AND a dechallenge or rechallenge,7,-0.298
ACETAMINOPHEN,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,False,True,False,True,True,True,0,0,0.0,23.0,-23.0,REJECT,no - the class requires serial auxology AND a dechallenge or rechallenge,9,-1.152
