mouse_gene,crispr_tier,CRISPR_CAUSAL,crispr_in_secondary_library,crispr_lfc_primary_D4,crispr_lfc_primary_D15,crispr_lfc_secondary_D4,crispr_lfc_secondary_D15,crispr_max_abs_lfc,crispr_guide_consistency_D15,crispr_guide_FDR_D15,crispr_d4_concordant,crispr_cross_library_agree,crispr_effect_class,crispr_direction,human_gene,ortholog_one2one,ortholog_type,fg_young_tibia_lfc,fg_tibia_vs_phalanx_lfc,fg_young_tibia_FDR,fg_tibia_vs_phalanx_FDR,fg_PZ_vs_HZ_lfc,fg_zone_bias,fg_rat_concordant,FAST_GROWTH,fg_score,mouse_zone_top,mouse_zone_specificity,human_zone_top,human_zone_specificity,human_zonal_detected,human_mouse_zone_concordant,height_n_loci,height_n_studies,height_neglog10p,HEIGHT_GWAS,cd200_D4_log2FC,cd200_D4_FDR,cd200_D15_log2FC,cd200_D15_FDR,maturation_slope,maturation_slope_FDR,sc_GSE125464_top_state,sc_GSE125464_max_expr,sc_GSE201605_top_state,sc_GSE201605_max_expr,sc_GSE231795_top_state,sc_GSE231795_max_expr,sc_GSE244881_top_state,sc_GSE244881_max_expr,sc_GSE271634_top_state,sc_GSE271634_max_expr,sc_GSE288529_top_state,sc_GSE288529_max_expr,sc_GSE76157_top_state,sc_GSE76157_max_expr,sc_consensus_state,sc_n_datasets_agree,sc_n_datasets_detected,sc_expr_max,pert_Dnmt1cKO_log2FC,pert_Dnmt1cKO_FDR,pert_Idh1mut_log2FC,pert_Idh1mut_FDR,pert_Adamts17KO_log2FC,pert_Adamts17KO_FDR,pert_STAT3KD_log2FC,pert_STAT3KD_FDR,pert_n_significant,gp_specificity_score,human_ensembl,sc_crispr,sc_fastgrowth,sc_height,sc_human_zonal,sc_gp_specificity,sc_perturbation,screen_effect,inhibitor_effect_on_maturation,desired_intervention_direction,plate_exhaustion_risk,ensembl,ot_symbol,biotype,target_classes,tractability_buckets,has_smallmolecule_tractability,has_antibody_tractability,ot_is_essential,depmap_n_screens,depmap_mean_gene_effect,depmap_frac_essential,n_safety_liabilities,safety_events,n_mouse_phenotypes,mouse_skeletal_phenotypes,chembl_target_ids,n_compounds_chembl,n_compounds_dgidb,n_approved_compounds,pubmed_total,pubmed_growthplate,obscurity_ratio,n_cancer_hallmarks,hallmark_labels,is_tumour_suppressor,is_oncogene,_annotated,TRACTABLE,tractable_class,sc_tractability,n_compounds,n_direction_matched,has_direction_matched_compound,n_direct_compounds,n_approved,best_pchembl,any_oral,any_black_box,any_withdrawn,strongest_compound,COMPOUND_MAPPED,sc_compound,sc_exposure,pen_essentiality,pen_safety,plate_disorganising_phenotype,pen_development,pen_plate_exhaustion,BLACKLIST,blacklist_reasons,SORT_MARKER_ARTIFACT,EXCLUDED_OBVIOUS,score_positive,score_penalty,total_score,novelty_growthplate_papers
Rfx6,,False,False,0.35034,0.84791,,,0.84791,0.75,0.57718,True,False,KO_promotes_maturation,1.0,RFX6,True,ortholog_one2one,,,,,,,,,,,,hypertrophic,0.7616,True,False,6.0,3.0,54.04576,True,,,,,,,,,,,proliferative,0.01327,,,resting,0.04137,,,,,proliferative,1.0,2.0,0.04137,,,,,-0.28012,1.0,0.26669,0.87985,0,0.44188,ENSG00000185002,0.17669,0.0,0.32833,0.06168,0.18859,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81626,0.8,0.01626,
Adamtsl1,,False,False,0.34,1.52711,,,1.52711,1.0,0.17394,True,False,KO_promotes_maturation,1.0,ADAMTSL1,True,ortholog_one2one,-2.88874,-3.68936,0.11363,0.11112,0.91948,proliferative,False,False,-4.19221,proliferative,0.26638,perichondrium,1.55167,True,False,10.0,7.0,62.22185,True,-0.14591,0.28599,0.46655,0.00469,0.01799,0.95713,resting,0.5125,resting,0.74924,hypertrophic,1.16048,resting,1.93296,proliferative,4.84682,resting,3.04696,,,resting,4.0,6.0,4.84682,-0.54467,0.82721,-0.32085,0.66945,-0.0618,1.0,-0.32913,0.87985,0,1.25299,ENSG00000178031,0.19807,0.0,0.39912,0.12566,0.50036,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,1.2,False,,False,False,1.21626,1.2,0.01626,
Cped1,,False,False,0.10889,0.88464,,,0.88464,0.75,0.47001,False,False,KO_promotes_maturation,1.0,CPED1,True,ortholog_one2one,0.18239,0.33996,0.70164,0.09196,-2.31481,hypertrophic,False,False,0.5217,proliferative,0.00845,prehypertrophic,0.26936,True,False,7.0,7.0,155.69897,True,-0.05798,0.76875,1.86363,0.0,1.26573,2e-05,resting,3.23955,hypertrophic,4.48694,hypertrophic,4.59468,hypertrophic,4.15214,proliferative,5.81594,hypertrophic,5.35986,hypertrophic,5.47582,hypertrophic,5.0,7.0,5.81594,-0.31005,0.8235,-0.2682,0.53786,0.82321,1.0,0.33039,0.89107,0,-0.60519,ENSG00000106034,0.02785,0.0107,0.47329,0.02181,0.44218,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81622,0.8,0.01622,
Jakmip2,,False,False,0.23186,0.87527,,,0.87527,0.75,0.44055,True,False,KO_promotes_maturation,1.0,JAKMIP2,True,ortholog_one2one,0.71768,0.05729,0.33849,0.68537,2.61535,proliferative,True,False,0.67732,proliferative,0.35046,resting,0.07724,True,False,,,,False,,,,,,,proliferative,1.2945,proliferative,1.60015,proliferative,1.46483,prehypertrophic,0.48824,proliferative,3.72769,proliferative,1.63894,,,proliferative,5.0,6.0,3.72769,0.27393,0.95495,-0.32103,0.99957,-0.9939,1.0,-0.78723,0.77026,0,-0.47356,ENSG00000176049,0.17755,0.0943,0.0,0.00625,0.45221,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81617,0.8,0.01617,
Tacc2,,False,False,0.00662,0.27967,,,0.27967,0.5,0.84885,False,False,KO_promotes_maturation,1.0,TACC2,True,ortholog_one2one,0.96958,0.45003,0.01714,0.23911,-0.83874,hypertrophic,True,True,1.10605,resting,0.03902,perichondrium,1.45176,True,False,1.0,1.0,10.39794,True,0.04237,0.76582,-0.24809,0.00734,0.26049,0.00362,prehypertrophic,4.62141,hypertrophic,5.90014,hypertrophic,5.18855,resting,6.48073,resting,7.45114,hypertrophic,7.28622,,,hypertrophic,3.0,6.0,7.45114,-0.35339,0.5295,-0.17079,0.99251,-0.54082,1.0,0.11712,0.8966,0,0.88496,ENSG00000138162,0.0088,0.30859,0.10588,0.11757,0.389,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81616,0.8,0.01616,
Pcbp3,,False,False,-0.00409,1.30033,,,1.30033,1.0,0.17394,False,False,KO_promotes_maturation,1.0,PCBP3,True,ortholog_one2one,1.03204,-0.31214,0.00169,0.34288,-0.89028,hypertrophic,True,True,0.63116,hypertrophic,0.44216,proliferative,0.09523,True,False,2.0,2.0,11.30103,True,-0.05407,0.86067,-4e-05,0.99986,-0.03217,0.54291,proliferative,3.57879,proliferative,2.9822,proliferative,2.90355,resting,2.51027,prehypertrophic,5.00643,proliferative,4.00847,prehypertrophic,4.76061,proliferative,4.0,7.0,5.00643,-0.89604,0.57325,-0.07674,0.99957,-1.56078,1.0,-0.81354,0.70959,0,-0.35261,ENSG00000183570,0.04093,0.29657,0.16135,0.00771,0.37809,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81615,0.8,0.01615,
Dbr1,,False,True,-0.89682,1.61496,-0.90852,1.2727,1.61496,1.0,0.09915,False,True,KO_promotes_maturation,1.0,DBR1,True,ortholog_one2one,0.21766,-0.4499,0.38241,0.29845,0.4469,shared,False,False,0.01047,resting,0.08421,hypertrophic,0.49109,True,False,,,,False,0.01575,0.93015,0.24301,0.11954,-0.20789,0.00083,proliferative,3.78292,proliferative,3.62601,proliferative,3.42891,hypertrophic,3.35455,proliferative,3.9413,proliferative,1.9443,prehypertrophic,4.48693,proliferative,5.0,7.0,4.48693,0.7358,0.38616,-0.06024,0.99957,0.93265,1.0,1.0102,0.72584,0,-0.25032,ENSG00000138231,0.20084,0.00713,0.0,0.03977,0.46921,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81598,0.8,0.01598,
Tlk1,,False,False,-0.00122,0.01314,,,0.01314,0.25,0.99299,False,False,KO_promotes_maturation,1.0,TLK1,True,ortholog_one2one,0.05768,-0.19678,0.72912,0.33816,-0.14537,shared,False,False,0.07799,proliferative,0.13894,prehypertrophic,0.12491,True,False,13.0,7.0,237.30103,True,0.04425,0.62942,0.47425,6e-05,-0.06474,0.05372,proliferative,5.06982,resting,6.02075,hypertrophic,4.90631,hypertrophic,5.59073,resting,6.62585,hypertrophic,5.56088,hypertrophic,7.33295,hypertrophic,4.0,7.0,7.33295,0.38086,0.62031,-0.07508,0.99957,-0.72696,1.0,0.47213,0.77303,0,-0.64265,ENSG00000198586,0.00041,0.00189,0.65028,0.01011,0.356,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81583,0.8,0.01583,
Tmem192,,False,False,0.07233,2.25074,,,2.25074,1.0,0.0821,False,False,KO_promotes_maturation,1.0,TMEM192,True,ortholog_one2one,-0.21053,-0.32006,0.18196,0.55534,-0.9837,hypertrophic,True,False,-0.17911,hypertrophic,0.76886,prehypertrophic,1.1004,True,False,,,,False,-0.16938,0.2518,-0.38301,0.01463,0.03572,0.57014,prehypertrophic,4.22694,prehypertrophic,4.20704,hypertrophic,4.44674,prehypertrophic,3.83695,prehypertrophic,3.9528,prehypertrophic,4.27151,prehypertrophic,5.54997,prehypertrophic,6.0,7.0,5.54997,0.3118,0.89847,-0.18519,0.99957,0.07938,1.0,-0.17528,0.88864,0,1.23811,ENSG00000170088,0.07085,0.07,0.0,0.08912,0.6659,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81571,0.8,0.01571,
Matn2,,False,False,0.22368,0.69615,,,0.69615,0.75,0.56195,True,False,KO_promotes_maturation,1.0,MATN2,True,ortholog_one2one,-0.13995,0.47638,0.14156,0.19045,2.49594,proliferative,False,False,0.40513,resting,0.17796,,,False,False,2.0,3.0,39.1549,True,-0.20169,0.05067,-0.48806,9e-05,0.43156,0.00037,prehypertrophic,5.30435,proliferative,4.94845,hypertrophic,5.85967,prehypertrophic,6.20608,proliferative,5.15204,proliferative,6.09458,proliferative,8.10345,proliferative,4.0,7.0,8.10345,-0.2684,0.71811,-0.26881,0.59,-1.06087,1.0,-0.08485,0.9396,0,-0.25783,ENSG00000132561,0.17191,0.00662,0.19617,0.0,0.3853,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81562,0.8,0.01562,
Exoc7,,False,False,-0.59972,0.12994,,,0.59972,0.75,0.84587,False,False,KO_promotes_maturation,1.0,EXOC7,True,ortholog_one2one,0.46253,-0.20485,0.25818,0.26745,-0.26258,shared,True,False,0.33479,resting,0.00913,resting,0.08845,True,True,,,,False,-0.09949,0.44532,-0.44985,0.0004,0.0968,0.05301,prehypertrophic,4.57852,resting,4.14197,proliferative,3.72779,hypertrophic,4.3872,prehypertrophic,4.45965,prehypertrophic,3.93317,proliferative,4.4823,prehypertrophic,3.0,7.0,4.57852,-0.43986,0.63138,0.04869,0.99957,-1.82427,1.0,-0.04567,0.94966,0,-0.82741,ENSG00000182473,0.01888,0.08515,0.0,0.60716,0.25859,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81551,0.8,0.01551,
Znrf2,,False,False,0.24292,0.90713,,,0.90713,0.75,0.52882,True,False,KO_promotes_maturation,1.0,ZNRF2,True,ortholog_one2one,-0.85405,-0.37064,0.07989,0.66585,0.00208,shared,True,False,-0.63018,hypertrophic,0.12643,proliferative,0.37789,True,False,2.0,1.0,9.39794,True,-0.30069,0.02117,-0.04765,0.57301,-0.18873,0.00831,proliferative,3.80986,prehypertrophic,3.26972,hypertrophic,3.1056,resting,5.33273,prehypertrophic,4.9512,resting,4.76181,prehypertrophic,5.07515,prehypertrophic,3.0,7.0,5.33273,0.19831,0.89787,0.12556,0.99957,3.53233,1.0,-0.37803,0.87985,0,-0.34435,ENSG00000180233,0.17856,0.07,0.15897,0.0306,0.29538,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81507,0.8,0.01507,
Lacc1,,False,False,-0.12091,1.59914,,,1.59914,1.0,0.15974,False,False,KO_promotes_maturation,1.0,LACC1,True,ortholog_one2one,-0.07117,-0.34023,0.89652,0.21173,-0.43311,shared,False,False,-0.10248,hypertrophic,0.46441,hypertrophic,0.03031,True,True,,,,False,0.39864,0.17165,-0.17053,0.44654,0.08975,0.21346,proliferative,3.06494,prehypertrophic,2.89149,proliferative,2.77074,hypertrophic,3.93192,prehypertrophic,2.86331,proliferative,3.46892,hypertrophic,5.57141,proliferative,3.0,7.0,5.57141,0.64679,0.65926,-0.03539,0.99957,-0.85731,1.0,-0.50944,0.87985,0,-0.40865,ENSG00000179630,0.05034,0.0,0.0,0.60245,0.29048,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81503,0.8,0.01503,
Heatr5a,,False,False,-0.02938,1.12564,,,1.12564,0.75,0.54997,False,False,KO_promotes_maturation,1.0,HEATR5A,True,ortholog_one2one,0.24278,0.31319,0.11223,0.42676,0.46796,shared,False,False,0.54272,hypertrophic,0.10578,hypertrophic,0.32371,True,True,,,,False,0.13744,0.35536,-0.01272,0.83985,-0.06107,0.54383,prehypertrophic,5.08439,hypertrophic,5.57485,proliferative,4.23739,prehypertrophic,5.25242,prehypertrophic,6.78925,hypertrophic,6.74367,proliferative,7.04153,prehypertrophic,3.0,7.0,7.04153,-0.05843,0.9548,0.01646,0.99957,-0.00901,1.0,-0.12114,0.89107,0,-0.43336,ENSG00000129493,0.03543,0.0123,0.0,0.62621,0.2886,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81502,0.8,0.01502,
Lrrc63,,False,False,0.2975,0.7827,,,0.7827,1.0,0.15885,True,False,KO_promotes_maturation,1.0,LRRC63,True,ortholog_one2one,-0.92062,-0.3494,0.47229,0.39176,0.0,shared,True,False,-0.65894,resting,1.0957,proliferative,0.88794,True,False,,,,False,,,,,,,,,prehypertrophic,0.08765,proliferative,0.01899,,,proliferative,0.10152,proliferative,0.16023,,,proliferative,3.0,4.0,0.16023,0.93561,,1.10629,,0.12503,1.0,,,0,1.32833,ENSG00000173988,0.17464,0.07,0.0,0.07191,0.42277,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81502,0.8,0.01502,
Hlx,,False,False,-0.19722,0.49359,,,0.49359,0.75,0.71304,False,False,KO_promotes_maturation,1.0,HLX,True,ortholog_one2one,-0.2692,-0.48328,0.12157,0.34733,-2.21492,hypertrophic,True,False,-0.32748,hypertrophic,0.24818,proliferative,0.52108,True,False,12.0,8.0,150.1549,True,-0.06983,0.75781,0.6894,0.00076,0.20349,0.04016,prehypertrophic,3.47178,prehypertrophic,1.78859,proliferative,2.82349,hypertrophic,3.67193,proliferative,1.49703,prehypertrophic,4.0504,hypertrophic,3.794,prehypertrophic,3.0,7.0,4.0504,-0.81998,0.3819,-0.07992,0.99957,0.31361,1.0,0.18269,0.91457,0,-0.03672,ENSG00000136630,0.01554,0.07,0.53142,0.0422,0.31881,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81502,0.8,0.01502,
Arl11,,False,False,-0.20055,1.63534,,,1.63534,1.0,0.15481,False,False,KO_promotes_maturation,1.0,ARL11,True,ortholog_one2one,-0.04388,0.47718,0.81946,0.7936,-2.59857,hypertrophic,True,False,0.4679,proliferative,0.07628,prehypertrophic,0.16119,True,False,5.0,3.0,282.69897,True,,,,,,,,,hypertrophic,0.5855,resting,0.13136,prehypertrophic,0.48824,prehypertrophic,0.31199,proliferative,0.08234,,,prehypertrophic,2.0,5.0,0.5855,-0.44338,,0.76266,0.79389,,,,,0,-0.66543,ENSG00000152213,0.05148,0.07663,0.59348,0.01305,0.18759,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81489,0.8,0.01489,
Ern1,,False,False,0.01877,1.19671,,,1.19671,1.0,0.32578,False,False,KO_promotes_maturation,1.0,ERN1,True,ortholog_one2one,0.77621,0.08255,0.03992,0.2886,-0.74592,hypertrophic,True,True,0.73231,proliferative,0.12125,hypertrophic,0.29737,True,False,5.0,4.0,22.22185,True,0.06965,0.48262,0.609,0.00014,0.08666,0.3747,prehypertrophic,2.82146,hypertrophic,3.6744,hypertrophic,2.51415,resting,3.39933,prehypertrophic,7.31186,proliferative,5.46013,hypertrophic,3.69587,hypertrophic,3.0,7.0,7.31186,-0.27473,0.91026,0.10593,0.99957,,,-0.01539,0.98693,0,-0.44916,ENSG00000178607,0.03767,0.27591,0.26789,0.02408,0.2874,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81474,0.8,0.01474,
Asph,,False,False,0.45952,1.45984,,,1.45984,1.0,0.18924,True,False,KO_promotes_maturation,1.0,ASPH,True,ortholog_one2one,-0.29222,0.17682,0.40986,0.25701,0.99234,proliferative,False,False,0.10394,proliferative,1.03458,hypertrophic,0.50374,True,False,1.0,1.0,8.0,True,0.03893,0.63491,-0.28331,0.00057,-0.00168,0.98221,prehypertrophic,6.08229,hypertrophic,6.33733,hypertrophic,5.03808,prehypertrophic,6.51221,resting,5.64689,prehypertrophic,5.63245,,,prehypertrophic,3.0,6.0,6.51221,0.18689,0.8467,0.04737,0.99957,-1.38426,1.0,-0.21645,0.87985,0,0.789,ENSG00000198363,0.19595,0.00246,0.10289,0.04079,0.38169,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81467,0.8,0.01467,
Gata6,,False,False,-0.08229,0.17191,,,0.17191,0.5,0.86527,False,False,KO_promotes_maturation,1.0,GATA6,True,ortholog_one2one,0.0143,0.28322,0.80981,0.66585,-1.49068,hypertrophic,True,False,0.37445,resting,0.58202,resting,0.08162,True,True,,,,False,0.24042,0.50798,-2.17273,0.0,0.24401,0.04168,resting,0.47893,prehypertrophic,1.28006,hypertrophic,2.73216,resting,1.93296,prehypertrophic,2.956,hypertrophic,1.94835,prehypertrophic,6.46024,prehypertrophic,3.0,7.0,6.46024,0.91007,0.69007,-0.3266,0.99957,,,0.02585,0.99292,0,-0.21873,ENSG00000141448,0.00541,0.0744,0.0,0.60661,0.30495,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81447,0.8,0.01447,
Gzmm,,False,False,-0.36501,0.97249,,,0.97249,0.75,0.40796,False,False,KO_promotes_maturation,1.0,GZMM,True,ortholog_one2one,1.31513,1.34984,0.0226,0.31806,1.31502,proliferative,True,True,1.93831,hypertrophic,0.6586,perichondrium,0.00077,True,False,,,,False,-0.27013,0.37024,0.51311,0.01495,-0.05739,0.52327,proliferative,0.91236,proliferative,0.65723,proliferative,0.31629,hypertrophic,1.30346,prehypertrophic,1.77154,proliferative,1.15923,proliferative,4.25627,proliferative,5.0,7.0,4.25627,0.84388,,0.28775,0.99957,,,,,0,-0.23588,ENSG00000197540,0.03061,0.37665,0.0,6e-05,0.47031,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81417,0.8,0.01417,
Agxt,,False,False,0.01915,1.20198,,,1.20198,0.75,0.39748,False,False,KO_promotes_maturation,1.0,AGXT,True,ortholog_one2one,,,,,,,,,,hypertrophic,1.22425,hypertrophic,0.93849,True,True,5.0,3.0,121.52288,True,,,,,,,,,,,,,resting,0.55555,,,resting,0.18559,,,resting,2.0,2.0,0.55555,,,1.86991,,,,,,0,1.5291,ENSG00000172482,0.03784,0.0,0.39201,0.676,0.35472,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,1.2,False,,False,False,1.21387,1.2,0.01387,
Ostn,,False,False,0.03111,0.52418,,,0.52418,0.75,0.4134,False,False,KO_promotes_maturation,1.0,OSTN,True,ortholog_one2one,-0.99963,-0.21632,0.22467,0.9473,0.11442,shared,True,False,-0.62014,,,,,False,False,25.0,9.0,104.1549,True,,,,,0.24309,0.10445,,,proliferative,1.48504,proliferative,0.07894,,,prehypertrophic,3.9528,proliferative,0.08234,,,proliferative,3.0,4.0,3.9528,2.43016,,0.05461,0.99957,,,,,0,0.0,ENSG00000188729,0.0165,0.07,0.56681,0.0,0.32161,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81373,0.8,0.01373,
Anp32b,,False,False,-0.04092,1.3304,,,1.3304,0.75,0.41038,False,False,KO_promotes_maturation,1.0,ANP32B,False,ortholog_one2many,0.09758,0.05241,0.40363,0.85527,0.38272,shared,False,False,0.27233,resting,0.11885,prehypertrophic,0.02326,True,False,6.0,5.0,106.69897,True,-0.05827,0.44996,-0.1603,0.008,-0.24789,7e-05,proliferative,9.43563,proliferative,9.72092,proliferative,9.75977,prehypertrophic,8.84079,proliferative,9.67885,proliferative,9.13731,proliferative,8.6876,proliferative,6.0,7.0,9.75977,0.17662,0.74502,-0.05683,0.99957,0.94994,1.0,-0.08752,0.90128,0,-0.78958,ENSG00000136938,0.04188,0.00392,0.39414,0.00188,0.51147,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81368,0.8,0.01368,
Gle1,,False,False,-0.19494,1.60657,,,1.60657,1.0,0.14926,False,False,KO_promotes_maturation,1.0,GLE1,True,ortholog_one2one,-0.16251,-0.19255,0.69575,0.55075,0.47146,shared,False,False,-0.06179,resting,0.15997,resting,0.15901,True,True,,,,False,-0.03539,0.79962,0.09439,0.34145,-0.08004,0.03465,proliferative,5.20585,resting,6.04933,hypertrophic,5.19146,hypertrophic,4.0278,proliferative,5.72342,proliferative,4.9778,hypertrophic,7.30589,hypertrophic,3.0,7.0,7.30589,-0.03612,0.97719,0.10725,0.99957,2.423,1.0,-0.13448,0.88634,0,-0.57798,ENSG00000119392,0.05057,0.0,0.0,0.61287,0.27759,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.81352,0.8,0.01352,
