mouse_gene,human_gene,ensembl,ot_symbol,biotype,target_classes,tractability_buckets,has_smallmolecule_tractability,has_antibody_tractability,ot_is_essential,depmap_n_screens,depmap_mean_gene_effect,depmap_frac_essential,n_safety_liabilities,safety_events,n_mouse_phenotypes,mouse_skeletal_phenotypes,chembl_target_ids,n_compounds_chembl,n_compounds_dgidb,n_approved_compounds
Mat2a,MAT2A,ENSG00000168906,MAT2A,protein_coding,Enzyme; Transferase,SM:Structure with Ligand; SM:High-Quality Ligand; SM:High-Quality Pocket; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,False,True,1258,-1.351,0.952,0,,7,,CHEMBL3313835,0,5,0
Copb2,COPB2,ENSG00000184432,COPB2,protein_coding,Unclassified protein,SM:Structure with Ligand; AB:UniProt loc med conf; PR:Database Ubiquitination; PR:Half-life Data,True,True,True,1258,-2.2397,1.0,0,,18,,CHEMBL6066912,0,0,0
Stat5a,STAT5A,ENSG00000126561,STAT5A,protein_coding,Transcription factor,SM:Structure with Ligand; SM:High-Quality Ligand; SM:Druggable Family; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,False,False,1257,-0.2876,0.076,0,,16,,CHEMBL5403,0,4,1
Crot,CROT,ENSG00000005469,CROT,protein_coding,Group translocator; Transporter,PR:Database Ubiquitination; PR:Half-life Data,False,False,False,1258,0.0863,0.002,0,,1,,CHEMBL2206,0,1,0
Uba1,UBA1,ENSG00000130985,UBA1,protein_coding,Enzyme; Ligase,PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,False,False,True,1258,-2.1783,0.999,0,,2,,CHEMBL5924,0,2,0
Gpr12,GPR12,ENSG00000132975,GPR12,protein_coding,Family A G protein-coupled receptor; Membrane receptor,SM:Druggable Family; AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt SigP or TMHMM,True,True,False,1223,0.0522,0.0,0,,14,,CHEMBL5006,0,6,0
Mitf,MITF,ENSG00000187098,MITF,protein_coding,Transcription factor,SM:Druggable Family; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,False,False,1258,-0.07,0.028,0,,134,abnormal long bone epiphyseal plate morphology; abnormal long bone metaphysis morphology; abnormal skeleton morphology; decreased length of long bones; increased trabecular bone connectivity density; increased width of hypertrophic chondrocyte zone,CHEMBL1741165,0,53,4
Slc35a2,SLC35A2,ENSG00000102100,SLC35A2,protein_coding,Electrochemical transporter; SLC superfamily of solute carriers; SLC35 family of nucleotide sugar transporters; Transporter,AB:UniProt SigP or TMHMM; PR:Half-life Data,False,True,False,1258,-0.1215,0.05,0,,0,,CHEMBL3430867,0,0,0
Rxfp2,RXFP2,ENSG00000133105,RXFP2,protein_coding,Family A G protein-coupled receptor; Membrane receptor; Peptide receptor (family A GPCR); Relaxin receptor; Relaxin-like peptide receptor (family A GPCR),SM:Druggable Family; AB:GO CC high conf; AB:UniProt loc med conf; AB:UniProt SigP or TMHMM; PR:Small Molecule Binder; OC:Advanced Clinical,True,True,False,1217,0.1042,0.0,0,,25,,CHEMBL1628482,1,29,0
Fam161a,FAM161A,ENSG00000170264,FAM161A,protein_coding,,PR:UniProt Ubiquitination; PR:Database Ubiquitination,False,False,False,1258,-0.0871,0.003,0,,32,,,0,0,0
Usf3,USF3,ENSG00000176542,USF3,protein_coding,,PR:Database Ubiquitination,False,False,False,1258,0.0519,0.0,0,,2,,,0,0,0
H2bc21,H2BC11,ENSG00000124635,H2BC11,protein_coding,,SM:Structure with Ligand; AB:GO CC high conf; PR:UniProt Ubiquitination; PR:Database Ubiquitination,True,True,True,1257,-1.4347,0.994,0,,3,,,0,0,0
Niban1,NIBAN1,ENSG00000135842,NIBAN1,protein_coding,,AB:GO CC high conf; PR:Database Ubiquitination,False,True,False,1258,-0.0576,0.002,0,,7,,,0,0,0
Gpr162,GPR162,ENSG00000250510,GPR162,protein_coding,Family A G protein-coupled receptor; Membrane receptor,SM:Druggable Family; AB:UniProt loc med conf; AB:UniProt SigP or TMHMM; AB:GO CC med conf; PR:Half-life Data,True,True,False,1255,-0.0251,0.001,0,,0,,CHEMBL4523871,0,0,0
Snx7,SNX7,ENSG00000162627,SNX7,protein_coding,,SM:Med-Quality Pocket; AB:UniProt loc med conf; PR:Database Ubiquitination; PR:Half-life Data,True,True,False,1258,-0.038,0.003,0,,0,,,0,0,0
Zfp981,ZNF34,ENSG00000196378,ZNF34,protein_coding,,PR:Database Ubiquitination,False,False,False,1258,-0.0943,0.01,0,,9,,,0,0,0
Gp1ba,GP1BA,ENSG00000185245,GP1BA,protein_coding,Unclassified protein,SM:Structure with Ligand; AB:GO CC high conf; AB:UniProt SigP or TMHMM; OC:Advanced Clinical,True,True,False,1257,-0.0236,0.001,0,,4,,CHEMBL4630891,1,1,0
Cfhr1,CFHR1,ENSG00000244414,CFHR1,protein_coding,,AB:GO CC high conf; AB:UniProt loc med conf; AB:UniProt SigP or TMHMM,False,True,False,1201,0.1239,0.001,0,,14,limb grasping,,0,0,0
Ss18l2,SS18L2,ENSG00000008324,SS18L2,protein_coding,Unclassified protein,PR:Database Ubiquitination,False,False,True,1257,-2.5383,0.991,0,,0,,CHEMBL6067352,0,0,0
Polrmt,POLRMT,ENSG00000099821,POLRMT,protein_coding,Enzyme; Transferase,SM:Structure with Ligand; SM:Med-Quality Pocket; PR:Database Ubiquitination; PR:Half-life Data,True,False,True,1257,-0.5886,0.595,0,,7,,CHEMBL3120041,0,1,0
Yju2,YJU2,ENSG00000105248,YJU2,protein_coding,,SM:Structure with Ligand; PR:Database Ubiquitination,True,False,True,1258,-1.5445,0.998,0,,1,,,0,0,0
Crisp4,CRISP1,ENSG00000124812,CRISP1,protein_coding,,AB:UniProt SigP or TMHMM; AB:GO CC med conf,False,True,False,1214,-0.1255,0.007,0,,0,,,0,0,0
Top1,TOP1,ENSG00000198900,TOP1,protein_coding,Enzyme; Isomerase,SM:Approved Drug; SM:Structure with Ligand; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Druggable Family; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; OC:Approved Drug,True,False,True,1258,-0.8595,0.93,1,Neutropenia,0,,CHEMBL1781,24,131,16
Gcgr,GCGR,ENSG00000215644,GCGR,protein_coding,Family B G protein-coupled receptor; Glucagon receptor; Glucagon-like receptor; Membrane receptor; Peptide receptor (family B GPCR),SM:Advanced Clinical; SM:Structure with Ligand; SM:High-Quality Ligand; SM:Druggable Family; AB:Advanced Clinical; AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt SigP or TMHMM; PR:Small Molecule Binder; OC:Approved Drug,True,True,False,1237,0.0439,0.002,0,,67,abnormal bone structure; increased bone mineral content,CHEMBL1985,15,35,4
