mouse_gene,human_gene,ensembl,ot_symbol,biotype,target_classes,tractability_buckets,has_smallmolecule_tractability,has_antibody_tractability,ot_is_essential,depmap_n_screens,depmap_mean_gene_effect,depmap_frac_essential,n_safety_liabilities,safety_events,n_mouse_phenotypes,mouse_skeletal_phenotypes,chembl_target_ids,n_compounds_chembl,n_compounds_dgidb,n_approved_compounds
Atp23,ATP23,ENSG00000166896,ATP23,protein_coding,,AB:GO CC high conf; AB:Human Protein Atlas loc; PR:Database Ubiquitination,False,True,True,1257,-0.3834,0.191,0,,12,,,0,0,0
Itgb1,ITGB1,ENSG00000150093,ITGB1,protein_coding,Membrane receptor,SM:Advanced Clinical; SM:Structure with Ligand; SM:High-Quality Ligand; SM:Druggable Family; AB:Advanced Clinical; AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt loc med conf; AB:UniProt SigP or TMHMM; AB:Human Protein Atlas loc; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; OC:Advanced Clinical,True,True,False,1258,-0.2058,0.176,0,,61,abnormal limb morphology; abnormal skeletal muscle morphology; decreased skeletal muscle fiber number; decreased skeletal muscle mass,CHEMBL1905,0,17,2
P4hb,P4HB,ENSG00000185624,P4HB,protein_coding,Enzyme; Isomerase,SM:Advanced Clinical; SM:Structure with Ligand; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Druggable Family; AB:UniProt loc high conf; AB:UniProt SigP or TMHMM; AB:GO CC med conf; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,True,False,1258,-0.1004,0.006,0,,4,,CHEMBL5422,0,13,2
Ogn,OGN,ENSG00000106809,OGN,protein_coding,,AB:GO CC high conf; AB:UniProt loc med conf; AB:UniProt SigP or TMHMM; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1246,0.142,0.0,0,,7,,,0,0,0
Nae1,NAE1,ENSG00000159593,NAE1,protein_coding,Unclassified protein,SM:Advanced Clinical; SM:Structure with Ligand; SM:High-Quality Ligand; SM:Med-Quality Pocket; SM:Druggable Family; AB:UniProt loc high conf; AB:GO CC med conf; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,True,True,1258,-0.8603,0.83,0,,8,,CHEMBL2016431,0,1,0
Dhrs7b,DHRS7B,ENSG00000109016,DHRS7B,protein_coding,,AB:UniProt SigP or TMHMM; AB:Human Protein Atlas loc; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,-0.1166,0.017,0,,8,,,0,0,0
Stac2,STAC2,ENSG00000141750,STAC2,protein_coding,,AB:UniProt loc med conf; AB:GO CC med conf,False,True,False,1252,-0.0178,0.015,0,,0,,,0,0,0
Akap13,AKAP13,ENSG00000170776,AKAP13,protein_coding,,SM:Structure with Ligand; AB:UniProt loc high conf; PR:Database Ubiquitination; PR:Half-life Data,True,True,False,1258,-0.001,0.007,0,,34,,,0,1,1
Stat3,STAT3,ENSG00000168610,STAT3,protein_coding,Transcription factor,SM:Structure with Ligand; SM:High-Quality Ligand; SM:Druggable Family; AB:GO CC med conf; PR:Literature; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,True,False,1258,-0.1141,0.029,1,regulation of transcription factor activity,21,,CHEMBL4026,0,43,7
Tmeff2,TMEFF2,ENSG00000144339,TMEFF2,protein_coding,,AB:UniProt loc med conf; AB:UniProt SigP or TMHMM; AB:GO CC med conf; PR:Half-life Data,False,True,False,1242,0.0158,0.001,0,,6,,,0,1,1
Ppp1r1c,PPP1R1C,ENSG00000150722,PPP1R1C,protein_coding,,,False,False,False,1252,0.0665,0.0,0,,0,,,0,0,0
Mcm10,MCM10,ENSG00000065328,MCM10,protein_coding,,PR:UniProt Ubiquitination; PR:Database Ubiquitination,False,False,True,1258,-0.4909,0.459,0,,9,,,0,0,0
Rln1,RLN1,ENSG00000107018,RLN1,protein_coding,,AB:UniProt loc med conf; AB:UniProt SigP or TMHMM; AB:GO CC med conf; PR:Database Ubiquitination,False,True,False,1245,0.0354,0.002,0,,30,,,0,0,0
Pou2af1,POU2AF1,ENSG00000110777,POU2AF1,protein_coding,,PR:UniProt Ubiquitination; PR:Database Ubiquitination,False,False,False,1251,-0.0441,0.041,0,,35,,,0,0,0
Hdlbp,HDLBP,ENSG00000115677,HDLBP,protein_coding,Unclassified protein,AB:GO CC high conf; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,-0.0439,0.017,0,,0,,CHEMBL4295796,0,0,0
Preb,PREB,ENSG00000138073,PREB,protein_coding,,AB:UniProt SigP or TMHMM; PR:Database Ubiquitination; PR:Half-life Data,False,True,True,1258,-0.9765,0.971,0,,0,,,0,0,0
1600012H06Rik,C6orf120,ENSG00000185127,C6orf120,protein_coding,,AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt SigP or TMHMM; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,0.0324,0.002,0,,0,,,0,0,0
Senp2,SENP2,ENSG00000163904,SENP2,protein_coding,Cysteine protease; Cysteine protease C48 family; Cysteine protease CE clan; Enzyme; Protease,AB:UniProt loc high conf; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Small Molecule Binder,False,True,False,1258,-0.0703,0.011,0,,21,,CHEMBL2176776,0,1,0
Smpd4,SMPD4,ENSG00000136699,SMPD4,protein_coding,Enzyme; Hydrolase,AB:UniProt loc med conf; AB:UniProt SigP or TMHMM; AB:GO CC med conf; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,-0.2395,0.048,0,,3,,CHEMBL6066252,0,0,0
Mbd5,MBD5,ENSG00000204406,MBD5,protein_coding,,,False,False,False,1258,0.069,0.0,0,,37,abnormal nasal bone morphology,,0,0,0
Kcns1,KCNS1,ENSG00000124134,KCNS1,protein_coding,,SM:Approved Drug; SM:Druggable Family; AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt SigP or TMHMM,True,True,False,1257,-0.0335,0.005,0,,0,,,0,6,4
Rpl29,RPL29,ENSG00000162244,RPL29,protein_coding,,SM:Approved Drug; SM:Structure with Ligand; SM:High-Quality Ligand; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; OC:Advanced Clinical,True,False,,0,,,0,,0,,,0,9,1
Msh2,MSH2,ENSG00000095002,MSH2,protein_coding,Unclassified protein,SM:Structure with Ligand; SM:High-Quality Pocket; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data,True,False,False,1258,-0.212,0.024,0,,30,,CHEMBL4296019,0,4,3
Zfp697,ZNF697,ENSG00000143067,ZNF697,protein_coding,,PR:UniProt Ubiquitination,False,False,False,1258,-0.109,0.002,0,,2,,,0,2,2
Mtpn,MTPN,ENSG00000105887,MTPN,protein_coding,Unclassified protein,AB:Human Protein Atlas loc; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,0.0818,0.001,0,,0,,CHEMBL6067232,0,0,0
Osbpl5,OSBPL5,ENSG00000021762,OSBPL5,protein_coding,,AB:UniProt SigP or TMHMM; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,0.0493,0.0,0,,0,,,0,0,0
