gene,avg_lfc_pD4,avg_neglogp_pD4,n_guides_pD4,guide_mean_lfc_pD4,guide_sd_pD4,guide_consistency_pD4,guide_t_pD4,guide_p_pD4,guide_FDR_pD4,avg_lfc_pD15,avg_neglogp_pD15,n_guides_pD15,guide_mean_lfc_pD15,guide_sd_pD15,guide_consistency_pD15,guide_t_pD15,guide_p_pD15,guide_FDR_pD15,avg_lfc_sD4,avg_neglogp_sD4,n_guides_sD4,guide_mean_lfc_sD4,guide_sd_sD4,guide_consistency_sD4,guide_t_sD4,guide_p_sD4,guide_FDR_sD4,avg_lfc_sD15,avg_neglogp_sD15,n_guides_sD15,guide_mean_lfc_sD15,guide_sd_sD15,guide_consistency_sD15,guide_t_sD15,guide_p_sD15,guide_FDR_sD15,in_secondary_library,sig_pD4,sig_pD15,sig_sD4,sig_sD15,primary_sign_agree,secondary_sign_agree,cross_library_agree,n_sig_timepoints,max_abs_lfc,screen_direction,effect_class,frac_multimapping_guides,multimapping_artifact,d4_concordant,crispr_tier,CRISPR_CAUSAL
Efl1,-0.34816882975,1.1786348622,4.0,-0.35,0.29608557321603274,1.0,-2.364181383093797,0.099024098471616,0.5212318191775669,1.24043753075,0.839300505899,4.0,1.24,0.16062378404209007,1.0,15.439805597844323,0.0005902355701157858,0.039779220416806656,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,1,1.24043753075,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Ube2g2,-0.12741425375,0.5527855291,4.0,-0.1275,0.4382826333162959,0.75,-0.5818163454721553,0.6015261628750889,0.8795086209104538,1.23781544,0.836959230528,4.0,1.235,0.15502687938977977,1.0,15.932720891515515,0.000537620723340707,0.03737716260680913,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,1,1.23781544,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Stac2,0.00421687475,0.537071354466,4.0,0.0050000000000000044,0.3560430685558513,0.25,0.028086489762491586,0.9793570939808796,0.9955538430495775,1.2288472475,0.857171609459,4.0,1.2275,0.10626225419530054,1.0,23.103217775598182,0.0001776363789990424,0.02001751883774155,,,,,,,,,,,,,,,,,,,False,False,True,False,False,True,False,False,1,1.2288472475,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Hltf,-0.02684955675,0.459713135383,4.0,-0.030000000000000006,0.22226110770892868,0.5,-0.2699527623995086,0.8047013147503467,0.9452657175896562,1.22144657125,0.844683893615,4.0,1.2200000000000002,0.12027745701779148,1.0,20.28642823433717,0.00026185924906832795,0.024587958016484883,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,1,1.22144657125,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Lrr1,-0.7106014145,2.91829493107,4.0,-0.71,0.1512172829628501,1.0,-9.390461011978733,0.0025583389438536587,0.10213863669175749,1.2208791065,0.816183508052,4.0,1.22,0.17925772879665,1.0,13.611686460492514,0.0008577490119629704,0.048433988202820515,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,1,1.2208791065,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Tomm20,-0.52881522825,1.88910979985,4.0,-0.5275000000000001,0.2478406746278746,1.0,-4.256766979770578,0.023770479176233754,0.31482531573515754,1.2190763705,0.849542805756,4.0,1.2175,0.10594810050208546,1.0,22.982950977512523,0.00018042693938528868,0.02022325481024412,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,1,1.2190763705,1.0,KO_promotes_maturation,0.5,False,False,B_primary_reproducible,True
Gosr2,-0.1273036165,0.616672811837,4.0,-0.1275,0.26017622233145493,0.75,-0.9801049370112669,0.3993108623055902,0.7903263148182409,1.21869574675,0.815584787591,4.0,1.22,0.18239152027072597,1.0,13.377814913644439,0.000902916140728485,0.04954220499913363,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,1,1.21869574675,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Bmpr2,0.67352675225,3.60618883437,4.0,0.6725000000000001,0.1579820664927932,1.0,8.513624551564885,0.0034038218227694546,0.12237410875685724,1.20767625125,0.921189823183,4.0,1.2075,1.8761907330190786,0.75,1.287182564916465,0.2883502115760885,0.5039848886667488,0.121913131,2.065351932,10.0,0.122,0.11735984548955973,0.8,3.2873072807075454,0.00941874029683151,0.01209628556818973,0.327546777,0.877304645,10.0,0.32799999999999996,0.37000900889933297,0.8,2.8032481577155948,0.020603020517703078,0.04034758184716853,True,False,False,True,True,True,True,True,2,1.20767625125,1.0,KO_promotes_maturation,0.0,False,True,A_secondary_validated,True
Afdn,0.669384175,3.42429961671,4.0,0.67,0.21924111536540464,1.0,6.1119922591465095,0.008801902143225744,0.20133592022281604,1.200585252,0.678024123108,4.0,1.2025000000000001,1.1591196371959769,1.0,2.074850535547762,0.1296391361128389,0.3377686684652929,0.056478983,1.606801833,7.0,0.055714285714285716,0.028784916685156977,1.0,5.12095088152918,0.0021762054434596887,0.003118343165933091,0.189019654,0.66524057,10.0,0.19000000000000003,0.5845986277400551,0.6,1.0277696985959324,0.3308869602261705,0.4226001937671199,True,False,False,True,False,True,True,True,1,1.200585252,1.0,KO_promotes_maturation,0.0,False,True,A_secondary_validated,True
Crisp4,0.063755588,0.598975901319,4.0,0.06250000000000001,0.25863423336183994,0.5,0.4833080229759062,0.661956552662117,0.9033428595687292,1.179796461,0.822142130855,4.0,1.1824999999999999,0.114418821295566,1.0,20.669676310427512,0.00024764085671490814,0.02370115231390171,,,,,,,,,,,,,,,,,,,False,False,True,False,False,True,False,False,1,1.179796461,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
